,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Sierra Leone,"7,976,983","7,813,215","7,650,150","7,488,423","7,328,834","7,171,914","6,415,634","5,645,624","4,584,571","4,303,957","4,319,762","3,805,311","3,388,495","3,037,154","2,744,891","2,508,219","2,317,636","2,165,815"
Hong Kong,"7,496,981","7,436,154","7,371,730","7,306,322","7,243,542","7,185,996","6,966,331","6,769,574","6,606,327","6,084,227","5,727,938","5,287,022","4,868,742","4,208,955","3,848,924","3,467,220","3,046,050","2,472,658"
Laos,"7,275,560","7,169,455","7,061,507","6,953,035","6,845,846","6,741,164","6,249,165","5,751,676","5,323,700","4,846,483","4,258,472","3,687,898","3,258,144","3,051,577","2,688,428","2,382,594","2,120,898","1,890,854"
Paraguay,"7,132,538","7,044,636","6,956,066","6,867,061","6,777,872","6,688,746","6,248,020","5,824,096","5,323,201","4,776,843","4,223,415","3,676,210","3,181,625","2,791,241","2,474,763","2,172,306","1,903,982","1,673,665"
Bulgaria,"6,948,445","7,000,119","7,051,608","7,102,444","7,151,953","7,199,741","7,425,008","7,686,962","7,997,957","8,379,308","8,841,458","8,975,361","8,878,791","8,738,392","8,507,551","8,222,589","7,885,607","7,561,493"
Libya,"6,871,292","6,777,452","6,678,559","6,580,724","6,492,162","6,418,315","6,197,663","5,798,614","5,357,891","4,948,798","4,436,661","3,873,781","3,219,466","2,645,139","2,133,526","1,733,306","1,448,417","1,245,358"
Lebanon,"6,825,445","6,855,713","6,859,408","6,819,373","6,714,281","6,532,678","4,953,061","4,698,763","3,842,778","3,528,380","2,803,044","2,651,995","2,588,929","2,575,749","2,297,434","2,092,375","1,804,941","1,532,115"
Nicaragua,"6,624,554","6,545,502","6,465,501","6,384,846","6,303,974","6,223,240","5,824,065","5,438,690","5,069,302","4,652,185","4,173,434","3,734,341","3,265,519","2,806,857","2,406,513","2,068,381","1,773,129","1,508,102"
Kyrgyzstan,"6,524,195","6,415,850","6,304,030","6,189,733","6,074,330","5,959,121","5,422,293","5,075,347","4,920,712","4,566,096","4,372,885","3,993,071","3,610,970","3,291,078","2,969,851","2,569,452","2,170,094","1,904,062"
El Salvador,"6,486,205","6,453,553","6,420,746","6,388,126","6,356,143","6,325,124","6,183,875","6,052,123","5,887,936","5,628,600","5,270,079","4,936,807","4,591,134","4,154,692","3,673,068","3,201,313","2,766,324","2,432,880"
Turkmenistan,"6,031,200","5,942,089","5,850,901","5,757,667","5,662,368","5,565,287","5,087,213","4,754,646","4,516,133","4,207,841","3,683,967","3,244,018","2,876,808","2,525,364","2,195,175","1,892,599","1,603,258","1,364,635"
Singapore,"5,850,342","5,804,337","5,757,499","5,708,041","5,653,634","5,592,152","5,131,172","4,265,687","4,028,871","3,525,969","3,012,966","2,705,534","2,411,688","2,259,721","2,072,283","1,877,826","1,633,130","1,305,105"
Denmark,"5,792,202","5,771,876","5,752,126","5,732,274","5,711,349","5,688,695","5,554,844","5,421,702","5,341,194","5,232,704","5,141,115","5,114,243","5,123,945","5,062,729","4,931,241","4,760,460","4,581,101","4,440,778"
Finland,"5,540,720","5,532,156","5,522,576","5,511,371","5,497,713","5,481,122","5,365,782","5,258,927","5,187,954","5,119,005","4,996,222","4,911,220","4,788,243","4,718,749","4,612,366","4,568,598","4,434,590","4,238,275"
Congo,"5,518,087","5,380,508","5,244,359","5,110,695","4,980,996","4,856,095","4,273,731","3,622,775","3,127,411","2,707,537","2,356,737","2,054,312","1,777,934","1,536,654","1,326,885","1,155,392","1,018,253","911,029"
